'country_name','cases','deaths','region','total_recovered','new_deaths','new_cases','serious_critical','active_cases','total_cases_per_1m_population'
'Kenya','197','8','0','25','0','0','2','164','4'
'Mayotte','196','3','0','59','0','0','3','134','718'
'Faeroe Islands','184','0','0','157','0','0','0','27','3766'
'Venezuela','181','9','0','93','0','0','6','79','6'
'Martinique','157','6','0','50','0','2','19','101','418'
'Guatemala','155','5','0','19','0','0','3','131','9'
'Paraguay','147','6','0','22','0','13','1','119','21'
'Guadeloupe','143','8','0','67','0','0','13','68','357'
'El Salvador','137','6','0','22','0','12','2','109','21'
'Brunei','136','1','0','106','0','0','2','29','311'
'Gibraltar','129','0','0','84','0','0','1','45','3829'
'Rwanda','126','0','0','25','0','0','0','101','10'
'Cambodia','122','0','0','77','0','0','1','45','7'
'Trinidad and Tobago','113','8','0','16','0','0','0','89','81'
'Madagascar','106','0','0','20','0','0','1','86','4'
'Mali','105','9','0','22','0','0','0','74','5'
'Monaco','93','1','0','6','0','0','5','86','2370'
'Aruba','92','0','0','32','0','0','1','60','862'
'French Guiana','86','0','0','51','0','0','1','35','288'
'Liechtenstein','79','1','0','55','0','0','0','23','2072'
'Togo','76','3','0','29','0','0','0','44','9'
'Jamaica','72','4','0','16','0','0','0','52','24'
'Barbados','71','4','0','11','0','0','4','56','247'
'Ethiopia','71','3','0','10','0','0','0','58','0'
'Congo','60','5','0','5','0','0','0','50','11'
'Bermuda','57','4','0','29','0','0','2','24','915'
'Gabon','57','1','0','1','0','8','0','55','26'
'Uganda','54','0','0','4','0','0','0','50','1'
'Cayman Islands','53','1','0','6','0','0','3','46','806'
'French Polynesia','53','0','0','0','0','0','1','53','189'
'Sint Maarten','50','9','0','5','0','0','2','36','1166'
'Liberia','50','5','0','3','0','0','0','42','10'
'Bahamas','47','8','0','6','0','1','1','33','120'
'Tanzania','46','3','0','7','0','14','0','36','0'
'Guyana','45','6','0','8','0','0','3','31','57'
'Macao','45','0','0','10','0','0','1','35','69'
'Zambia','43','2','0','30','0','0','1','11','2'
'Myanmar','41','4','0','2','0','0','0','35','0'
'Guinea-Bissau','38','0','0','0','0','0','0','38','19'
'Benin','35','1','0','5','0','0','0','29','3'
'Eritrea','34','0','0','0','0','0','0','34','10'
'Haiti','33','3','0','0','0','0','0','30','3'
'Saint Martin','32','2','0','11','0','0','5','19','828'
'Somalia','25','2','0','2','1','0','2','21','2'
'Syria','25','2','0','5','0','0','0','18','1'
'Libya','25','1','0','9','0','0','0','15','4'
'Antigua and Barbuda','23','2','0','0','0','2','1','21','235'
'Equatorial Guinea','21','0','0','3','0','0','0','18','15'
'Mozambique','21','0','0','2','0','0','0','19','0'
'Maldives','20','0','0','14','0','0','0','6','37'
'Angola','19','2','0','4','0','0','0','13','0'
'Sudan','19','2','0','2','0','0','0','15','0'
'Laos','19','0','0','0','0','0','0','19','3'
'Chad','18','0','0','2','0','0','0','16','1'
'New Caledonia','18','0','0','1','0','0','0','17','63'
'Mongolia','17','0','0','4','0','1','0','13','5'
'Dominica','16','0','0','8','0','0','0','8','222'
'Fiji','16','0','0','0','0','0','0','16','18'
'Namibia','16','0','0','3','0','0','0','13','6'
'Saint Lucia','15','0','0','4','0','0','0','11','82'
'Zimbabwe','14','3','0','0','0','0','0','11','0'
'Belize','14','2','0','0','0','0','1','12','35'
'Curaçao','14','1','0','8','0','0','0','5','85'
'Grenada','14','0','0','0','0','0','2','14','124'
'Eswatini','14','0','0','7','0','0','0','7','12'
'Malawi','13','2','0','0','0','0','1','11','0'
'Botswana','13','1','0','0','0','0','0','12','6'
'Nepal','13','0','0','1','0','1','0','12','0'
'Saint Kitts and Nevis','12','0','0','0','0','0','0','12','226'
'St. Vincent Grenadines','12','0','0','1','0','0','0','11','108'
'CAR','11','0','0','3','0','3','0','8','2'
'Greenland','11','0','0','11','0','0','0','0','194'
'Montserrat','11','0','0','1','0','2','1','10','2204'
'Seychelles','11','0','0','0','0','0','0','11','112'
'Suriname','10','1','0','4','0','0','0','5','17'
'Sierra Leone','10','0','0','0','0','0','0','10','1'
'MS Zaandam','9','2','0','0','0','0','0','7','0'
'Gambia','9','1','0','2','0','0','0','6','4'
'Nicaragua','9','1','0','4','0','0','0','4','1'
'Turks and Caicos','9','1','0','0','0','0','0','8','232'
'Cabo Verde','8','1','0','1','0','0','0','6','14'
'Vatican City','8','0','0','2','0','0','0','6','9988'
'Mauritania','7','1','0','2','0','0','0','4','2'
'St. Barth','6','0','0','4','0','0','0','2','607'
'Western Sahara','6','0','0','0','0','0','0','6','10'
'Bhutan','5','0','0','2','0','0','0','3','6'
'Burundi','5','0','0','0','0','0','0','5','0'
'Falkland Islands','5','0','0','1','0','0','0','4','1437'
'Sao Tome and Principe','4','0','0','0','0','0','0','4','18'
'South Sudan','4','0','0','0','0','0','0','4','0'
'Timor-Leste','4','0','0','1','0','2','0','3','3'
'Anguilla','3','0','0','1','0','0','0','2','200'
'British Virgin Islands','3','0','0','2','0','0','0','1','99'
'Caribbean Netherlands','3','0','0','0','0','0','0','3','114'
'Papua New Guinea','2','0','0','0','0','0','0','2','0'
'Saint Pierre Miquelon','1','0','0','0','0','0','0','1','173'
'Yemen','1','0','0','0','0','0','0','1','0'
'Yemen','1','0','0','0','0','0','0','1','0'
